FUNCTION                                     CALLS        %   TIME  [uS / CALLS]
--------                                     -----  -------   ----  [----------]
io:o_request/3                                   1     0.00      0  [      0.00]
io:format/2                                      1     0.00      0  [      0.00]
io:format/3                                      1     0.00      0  [      0.00]
io:request/2                                     1     0.00      0  [      0.00]
io:execute_request/2                             1     0.00      0  [      0.00]
io:default_output/0                              1     0.00      0  [      0.00]
io:bc_req/3                                      1     0.00      0  [      0.00]
io:io_request/2                                  1     0.00      0  [      0.00]
error_handler:undefined_function/3               3     0.00      0  [      0.00]
error_handler:ensure_loaded/1                    3     0.00      0  [      0.00]
gb_sets:empty/0                                  1     0.00      0  [      0.00]
linda_kernel:server_identifier/0                 2     0.00      0  [      0.00]
linda_kernel:start/0                             1     0.00      0  [      0.00]
linda_kernel:create_ts/0                         1     0.00      0  [      0.00]
linda_kernel:in/2                                1     0.00      0  [      0.00]
linda_kernel:schedule_deadlock_detection/0       1     0.00      0  [      0.00]
linda_kernel:state_add_tuple_space/3             1     0.00      0  [      0.00]
linda_kernel:init/1                              1     0.00      0  [      0.00]
linda_kernel:handle_call/3                       1     0.00      0  [      0.00]
gen:start/6                                      2     0.00      0  [      0.00]
gen:do_spawn/6                                   2     0.00      0  [      0.00]
gen:init_it/7                                    2     0.00      0  [      0.00]
gen:init_it2/7                                   2     0.00      0  [      0.00]
gen:call/3                                       1     0.00      0  [      0.00]
gen:call/4                                       5     0.00      0  [      0.00]
gen:do_call/4                                    5     0.00      0  [      0.00]
gen:do_for_proc/2                                5     0.00      0  [      0.00]
gen:where/1                                      4     0.00      0  [      0.00]
gen:name_register/1                              2     0.00      0  [      0.00]
gen:timeout/1                                    2     0.00      0  [      0.00]
gen:spawn_opts/1                                 2     0.00      0  [      0.00]
gen:opt/2                                        4     0.00      0  [      0.00]
gen:'-call/4-fun-0-'/4                           5     0.00      0  [      0.00]
tuple_space:server_identifier/1               5002     0.00      0  [      0.00]
tuple_space:in/2                                 1     0.00      0  [      0.00]
tuple_space:start/1                              1     0.00      0  [      0.00]
tuple_space:init/1                               1     0.00      0  [      0.00]
tuple_space:handle_call/3                        1     0.00      0  [      0.00]
lists:delete/2                                   1     0.00      0  [      0.00]
code:ensure_loaded/1                             3     0.00      0  [      0.00]
code:call/1                                      3     0.00      0  [      0.00]
dict:new/0                                       1     0.00      0  [      0.00]
dict:store/3                                     1     0.00      0  [      0.00]
dict:store_bkt_val/3                             1     0.00      0  [      0.00]
dict:get_slot/2                                  1     0.00      0  [      0.00]
dict:on_bucket/3                                 1     0.00      0  [      0.00]
dict:maybe_expand/2                              1     0.00      0  [      0.00]
dict:maybe_expand_aux/2                          1     0.00      0  [      0.00]
dict:mk_seg/1                                    1     0.00      0  [      0.00]
dict:'-store/3-fun-0-'/3                         1     0.00      0  [      0.00]
gen_server:start_link/4                          2     0.00      0  [      0.00]
gen_server:call/2                                1     0.00      0  [      0.00]
gen_server:call/3                                4     0.00      0  [      0.00]
gen_server:cast/2                             5000     0.00      0  [      0.00]
gen_server:reply/2                               2     0.00      0  [      0.00]
gen_server:init_it/6                             2     0.00      0  [      0.00]
gen_server:name/1                                2     0.00      0  [      0.00]
gen_server:decode_msg/8                       5002     0.00      0  [      0.00]
gen_server:try_dispatch/3                     5000     0.00      0  [      0.00]
gen_server:try_handle_call/4                     2     0.00      0  [      0.00]
gen_server:handle_common_reply/6              5000     0.00      0  [      0.00]
gen_server:opt/2                                 2     0.00      0  [      0.00]
gen_server:debug_options/2                       2     0.00      0  [      0.00]
proc_lib:spawn_opt/4                             2     0.00      0  [      0.00]
proc_lib:check_for_monitor/1                     2     0.00      0  [      0.00]
proc_lib:ensure_link/1                           2     0.00      0  [      0.00]
proc_lib:init_p/5                                2     0.00      0  [      0.00]
proc_lib:init_p_do_apply/3                       2     0.00      0  [      0.00]
proc_lib:start_link/5                            2     0.00      0  [      0.00]
proc_lib:sync_wait/2                             2     0.00      0  [      0.00]
proc_lib:init_ack/2                              2     0.00      0  [      0.00]
proc_lib:trans_init/3                            2     0.00      0  [      0.00]
proc_lib:get_my_name/0                           2     0.00      0  [      0.00]
proc_lib:get_ancestors/0                         2     0.00      0  [      0.00]
proc_lib:proc_info/2                             2     0.00      0  [      0.00]
global:register_name/2                           2     0.00      0  [      0.00]
global:register_name/3                           2     0.00      0  [      0.00]
global:allow_tuple_fun/1                         2     0.00      0  [      0.00]
code_server:call/2                               3     0.00      0  [      0.00]
erlang:spawn_opt/4                               2     0.00      0  [      0.00]
template:template_match/2                        1     0.00      0  [      0.00]
template:template_match/3                        2     0.00      0  [      0.00]
template:template_match_element/2                1     0.00      0  [      0.00]
template:fetch_tuple/2                           1     0.00      0  [      0.00]
net_kernel:dflag_unicode_io/1                    1     0.00      0  [      0.00]
lists:member/2                                   4     0.00      0  [      0.00]
erlang:send/3                                    5     0.00      0  [      0.00]
erlang:is_process_alive/1                     5002     0.00      0  [      0.00]
erlang:demonitor/2                               6     0.00      0  [      0.00]
erlang:monitor/2                                 7     0.00      0  [      0.00]
erlang:send_after/3                              1     0.00      0  [      0.00]
erlang:spawn_opt/1                               2     0.00      0  [      0.00]
erlang:whereis/1                                 6     0.00      0  [      0.00]
erlang:setelement/3                           5006     0.00      0  [      0.00]
erlang:put/2                                     4     0.00      0  [      0.00]
erlang:process_info/2                            2     0.00      0  [      0.00]
erlang:function_exported/3                       3     0.00      0  [      0.00]
erlang:make_ref/0                                1     0.00      0  [      0.00]
erlang:phash/2                                   1     0.00      0  [      0.00]
erlang:group_leader/0                            1     0.00      0  [      0.00]
tuple_space:out/2                             5000     4.35   1000  [      0.20]
gen_server:cast_msg/1                         5000     4.35   1000  [      0.20]
gen_server:loop/6                             5004     4.35   1000  [      0.20]
gen_server:try_dispatch/4                     5000     4.35   1000  [      0.20]
global:where/1                                5004     4.35   1000  [      0.20]
ets:lookup/2                                  5004     4.35   1000  [      0.20]
profiling:out_multiple/2                      5001     8.70   2000  [      0.40]
tuple_space:handle_cast/2                     5000     8.70   2000  [      0.40]
gen_server:handle_msg/5                       5002     8.70   2000  [      0.40]
global:send/2                                 5000     8.70   2000  [      0.40]
linda_kernel:out/2                            5000    13.04   3000  [      0.60]
